STREET ID,STREET,FROM,TO,PCI
376,CHARLESTON  ROAD,SAN ANTONIO  AVENUE,CITY LIMITS,91
377,WEST  CHARLESTON  ROAD,EL CAMINO REAL,WILKIE WAY,68
378,WEST  CHARLESTON  ROAD,WILKIE WAY,RUTHELMA AVENUE,74
379,WEST  CHARLESTON  ROAD,RUTHELMA AVENUE,PARK BOULEVARD,67
380,WEST  CHARLESTON  ROAD,PARK BOULEVARD,ALMA STREET,64
381,CHURCHILL  AVENUE,EL CAMINO REAL,MADRONO AVENUE,81
382,CHURCHILL  AVENUE,MADRONO AVENUE,CASTILLEJA  AVENUE,81
383,CHURCHILL  AVENUE,CASTILLEJA AVENUE,MARIPOSA AVENUE,81
384,CHURCHILL  AVENUE,MARIPOSA AVENUE,ALMA STREET,81
385,CHURCHILL  AVENUE,ALMA STREET,EMERSON STREET,73
386,CHURCHILL  AVENUE,EMERSON STREET,BRYANT STREET,71
387,CHURCHILL  AVENUE,BRYANT STREET,WAVERLEY STREET,51
388,CHURCHILL  AVENUE,WAVERLEY STREET,COWPER STREET,57
389,CHURCHILL  AVENUE,COWPER STREET,EMBARCADERO  ROAD,71
390,CLARA DRIVE,SUTTER AVENUE,ROSS ROAD,92
391,CLARA DRIVE,ROSS ROAD,CLARA CUL-DE- SAC1,85
392,CLARA DRIVE,CLARA CUL-DE-SAC1,LOUIS ROAD,87
393,CLARA DRIVE,LOUIS ROAD,CLARA CUL-DE- SAC2,97
394,CLARA DRIVE,CLARA CUL-DE-SAC2,SANDRA PLACE,88
395,CLARA DRIVE,SANDRA PLACE,COLORADO  AVENUE,95
396,CLARA DRIVE,CLARA DRIVE,END,81
397,CLARA DRIVE,CLARA DRIVE,END,82
398,CLEMO AVENUE,MAYBELL AVENUE,ARASTRADERO  ROAD,89
399,CLIFTON COURT,STOCKTON PLACE,END,81
400,COASTLAND DRIVE,MARION AVENUE,MORENO AVENUE,55
401,COASTLAND DRIVE,MARION AVENUE,MARION AVENUE,76
402,COLERIDGE  AVENUE,ALMA STREET,EMERSON STREET,82
403,COLERIDGE  AVENUE,EMERSON STREET,BRYANT STREET,65
404,COLERIDGE  AVENUE,BRYANT STREET,WAVERLEY STREET,92
405,COLERIDGE  AVENUE,WAVERLEY STREET,COWPER STREET,94
406,COLERIDGE  AVENUE,COWPER STREET,WEBSTER STREET,75
407,COLERIDGE  AVENUE,WEBSTER STREET,END,87
408,COLLEGE AVENUE,AMHERST STREET,BOWDOIN STREET,93
409,COLLEGE AVENUE,BOWDOIN STREET,COLUMBIA STREET,93
410,COLLEGE AVENUE,COLUMBIA STREET,DARTMOUTH  STREET,93
411,COLLEGE AVENUE,DARTMOUTH  STREET,HANOVER STREET,93
412,COLLEGE AVENUE,HANOVER STREET,HARVARD STREET,93
413,COLLEGE AVENUE,HARVARD STREET,OBERLIN STREET,93
414,COLLEGE AVENUE,OBERLIN STREET,PRINCETON  STREET,93
415,COLLEGE AVENUE,PRINCETON STREET,CORNELL STREET,93
416,COLLEGE AVENUE,CORNELL STREET,WELLESLEY  STREET,93
417,COLLEGE AVENUE,WELLESLEY STREET,WILLIAMS STREET,93
418,COLLEGE AVENUE,WILLIAMS STREET,YALE STREET,93
419,COLLEGE AVENUE,YALE STREET,STAUTON COURT,93
420,COLLEGE AVENUE,STAUTON COURT,EL CAMINO REAL,93
421,COLLEGE AVENUE,EL CAMINO REAL,ASH STREET,92
422,COLLEGE AVENUE,ASH STREET,BIRCH STREET,91
423,COLLEGE AVENUE,BIRCH STREET,BIRCH STREET,84
424,COLLEGE AVENUE,BIRCH STREET,PARK BOULEVARD,90
425,COLONIAL LANE,MORENO AVENUE,GREER ROAD,97
426,COLORADO  AVENUE,ALMA STREET,HIGH STREET,96
427,COLORADO  AVENUE,HIGH STREET,EMERSON STREET,96
428,COLORADO  AVENUE,EMERSON STREET,RAMONA STREET,95
429,COLORADO  AVENUE,RAMONA STREET,BRYANT STREET,97
430,COLORADO  AVENUE,BRYANT STREET,SOUTH COURT,96
431,COLORADO  AVENUE,SOUTH COURT,WAVERLEY STREET,94
432,COLORADO  AVENUE,WAVERLEY STREET,KIPLING STREET,97
433,COLORADO  AVENUE,KIPLING STREET,COWPER STREET,97
434,COLORADO  AVENUE,COWPER STREET,BYRON STREET,97
435,COLORADO  AVENUE,BYRON STREET,MIDDLEFIELD ROAD,96
436,COLORADO  AVENUE,MIDDLEFIELD ROAD,MIDTOWN COURT,96
437,COLORADO  AVENUE,MIDTOWN COURT,RANDERS COURT,95
438,COLORADO  AVENUE,RANDERS COURT,ROSS ROAD,96
439,COLORADO  AVENUE,ROSS ROAD,SEVYSON COURT,96
440,COLORADO  AVENUE,SEVYSON COURT,LOUIS ROAD,96
441,COLORADO  AVENUE,LOUIS ROAD,SANDRA PLACE,90
442,COLORADO  AVENUE,SANDRA PLACE,CLARA DRIVE,90
443,COLORADO  AVENUE,CLARA DRIVE,GREER ROAD,91
444,COLORADO  AVENUE,GREER ROAD,HIGGINS PLACE,90
445,COLORADO  AVENUE,HIGGINS PLACE,SIMKINS COURT,90
446,COLORADO  AVENUE,SIMKINS COURT,W. BAYSHORE  ROAD,91
447,COLUMBIA STREET,STANFORD AVENUE,COLLEGE AVENUE,92
448,COLUMBIA STREET,COLLEGE AVENUE,CALIFORNIA  AVENUE,91
449,COMMERCIAL  STREET,TRANSPORT  STREET,E. CHARLESTON  ROAD,97
450,COMMUNITY LANE,HARRIET STREET,WILSON STREET,54
451,COMMUNITY LANE,CEDAR STREET,PINE STREET,66
452,COMMUNITY LANE,PINE STREET,NEWELL ROAD,62
453,CORINA WAY,ROSS ROAD,CORINA CUL-DE- SAC,91
454,CORINA WAY,CORINA CUL-DE-SAC,ROSS ROAD,88
455,CORINA WAY,ROSS ROAD,LOUIS ROAD,92
456,CORINA WAY,LOUIS ROAD,NATHAN WAY,88
457,CORINA WAY,CORINA WAY,END,91
458,CORK OAK WAY,AMES AVENUE,"END, NORTH",89
459,CORK OAK WAY,AMES AVENUE,AMES AVENUE,89
460,CORK OAK WAY,AMES AVENUE,"END, SOUTH",89
461,CORNELL STREET,STANFORD AVENUE,COLLEGE AVENUE,92
462,CORNELL STREET,COLLEGE AVENUE,CALIFORNIA  AVENUE,90
463,CORPORATION  WAY,E. BAYSHORE ROAD,END,97
464,COULOMBE DRIVE,MAYBELL AVENUE,ARASTRADERO  ROAD,95
465,COUNTRY CLUB  COURT,ALEXIS DRIVE,END,92
466,COWPER STREET,PALO ALTO AVENUE,RUTHVEN AVENUE,56
467,COWPER STREET,RUTHVEN AVENUE,HAWTHORNE  AVENUE,97
468,COWPER STREET,HAWTHORNE  AVENUE,EVERETT AVENUE,97
469,COWPER STREET,EVERETT AVENUE,LYTTON AVENUE,93
470,COWPER STREET,LYTTON AVENUE,UNIVERSITY  AVENUE,89
471,COWPER STREET,UNIVERSITY  AVENUE,HAMILTON AVENUE,83
472,COWPER STREET,HAMILTON AVENUE,FOREST AVENUE,93
473,COWPER STREET,FOREST AVENUE,HOMER AVENUE,92
474,COWPER STREET,HOMER AVENUE,CHANNING AVENUE,92
475,COWPER STREET,CHANNING AVENUE,ADDISON AVENUE,87
476,COWPER STREET,ADDISON AVENUE,LINCOLN AVENUE,78
477,COWPER STREET,LINCOLN AVENUE,KINGSLEY AVENUE,87
478,COWPER STREET,KINGSLEY AVENUE,MELVILLE AVENUE,80
479,COWPER STREET,MELVILLE AVENUE,KELLOGG AVENUE,83
480,COWPER STREET,KELLOGG AVENUE,EMBARCADERO  ROAD,87
481,COWPER STREET,EMBARCADERO  ROAD,CHURCHILL  AVENUE,39
482,COWPER STREET,CHURCHILL AVENUE,COLERIDGE  AVENUE,34
483,COWPER STREET,COLERIDGE AVENUE,LOWELL AVENUE,67
484,COWPER STREET,LOWELL AVENUE,TENNYSON AVENUE,84
485,COWPER STREET,TENNYSON AVENUE,SEALE AVENUE,78
486,COWPER STREET,SEALE AVENUE,SANTA RITA  AVENUE,60
487,COWPER STREET,SANTA RITA AVENUE,WASHINGTON  AVENUE,75
488,COWPER STREET,WASHINGTON  AVENUE,NORTH CALIFORNIA  AVENUE,84
489,COWPER STREET,NORTH CALIFORNIA  AVENUE,NEVADA AVENUE,92
490,COWPER STREET,NEVADA AVENUE,OREGON  EXPRESSWAY,91
491,COWPER STREET,OREGON  EXPRESSWAY,MARION AVENUE,93
492,COWPER STREET,MARION AVENUE,COLORADO  AVENUE,97
493,COWPER STREET,COLORADO AVENUE,COLORADO  AVENUE,97
494,COWPER STREET,COLORADO AVENUE,EL DORADO  AVENUE,93
495,COWPER STREET,EL DORADO AVENUE,GARY COURT,97
496,COWPER STREET,GARY COURT,MARTINSEN COURT,93
497,COWPER STREET,MARTINSEN COURT,LOMA VERDE  AVENUE,97
498,COWPER STREET,LOMA VERDE  AVENUE,SAINT CLAIRE  DRIVE,92
499,COWPER STREET,SAINT CLAIRE DRIVE,KIPLING STREET,95
500,COWPER STREET,KIPLING STREET,MAUREEN AVENUE,93
501,COWPER STREET,MAUREEN AVENUE,ASHTON  AVENUE,97
502,COWPER STREET,ASHTON AVENUE,COWPER COURT,93
503,COWPER STREET,COWPER COURT,ALGER DRIVE,91
504,COWPER STREET,ALGER DRIVE,EAST MEADOW  DRIVE,92
505,COWPER COURT,COWPER STREET,END,86
506,COYOTE HILL ROAD,HILLVIEW AVENUE,CITY LIMIT,95
507,CREEKSIDE DRIVE,GREENMEADOW  WAY,NELSON DRIVE,96
508,CRESCENT DRIVE,UNIVERSITY  AVENUE,UNIVERSITY  AVENUE,65
509,CRESCENT DRIVE,UNIVERSITY  AVENUE,SOUTHWOOD  AVENUE,79
510,CRESCENT DRIVE,UNIVERSITY  AVENUE,HAMILTON AVENUE,82
511,CROSBY PLACE,GEORGIA AVENUE,END,97
512,CURTNER AVENUE,EL CAMINO REAL,PARK BOULEVARD,97
513,DAKE AVENUE,FERNE AVENUE,CHRISTOPHER  COURT,95
514,DAKE AVENUE,CHRISTOPHER  COURT,SAN ANTONIO  AVENUE,96
515,DANA AVENUE,LINCOLN AVENUE,CENTER DRIVE,53
516,DANA AVENUE,CENTER DRIVE,NEWELL ROAD,97
517,DANA AVENUE,NEWELL ROAD,ALESTER AVENUE,94
518,DARLINGTON  COURT,PARK BOULEVARD,END,49
519,DARTMOUTH  STREET,STANFORD AVENUE,WERRY PARK,90
520,DARTMOUTH  STREET,WERRY PARK,COLLEGE AVENUE,58
521,DARTMOUTH  STREET,COLLEGE AVENUE,WEISSMAR PARK,92
522,DARTMOUTH  STREET,WEISSMAR PARK,CALIFORNIA  AVENUE,54
523,DAVENPORT WAY,PARK BOULEVARD,END,95
524,DAVID AVENUE,STELLING DRIVE,END,92
525,DAVID AVENUE,STELLING DRIVE,ELBRIDGE WAY,92
526,DAVID AVENUE,ELBRIDGE WAY,DAVID CUL-DE-SAC,88
527,DAVID AVENUE,DAVID CUL-DE-SAC,STELLING DRIVE,92
528,DAVID AVENUE,STELLING DRIVE,LOMA VERDE  AVENUE,93
529,DAVID AVENUE,DAVID AVENUE,END,92
530,DEER CREEK ROAD,ARASTRADERO  ROAD,CITY LIMITS,87
531,DENNIS DRIVE,BURNHAM WAY,AGNES WAY,88
532,DE SOTO DRIVE,CHANNING AVENUE,DE SOTO DRIVE,95
533,DEODAR STREET,EL CAMINO REAL,END,90
534,DIABLO COURT,NELSON DRIVE,END,95
535,DIXON COURT,ELY PLACE,END,92
536,DONALD DRIVE,GEORGIA AVENUE,WILLMAR DRIVE,92
537,DONALD DRIVE,WILLMAR DRIVE,MAYBELL AVENUE,93
538,DONALD DRIVE,MAYBELL AVENUE,ARASTRADERO  ROAD,89
539,DOWNING LANE,FOREST AVENUE,HOMER AVENUE,43
540,DRIFTWOOD DRIVE,ARBUTUS AVENUE,LUPINE AVENUE,92
541,DRIFTWOOD DRIVE,LUPINE AVENUE,EVERGREEN DRIVE,92
542,DRISCOLL COURT,MAYBELL AVENUE,END,93
543,DULUTH CIRCLE,WILKIE WAY,END,97
544,DUNCAN PLACE,ELY PLACE,DUNCAN CUL-DE- SAC,91
545,DUNCAN PLACE,DUNCAN CUL-DE- SAC,ELY PLACE,92
546,DUNCAN PLACE,DUNCAN PLACE,END,92
547,EDGEWOOD DRIVE,EDGEWOOD DRIVE,END,87
548,EDGEWOOD DRIVE,EDGEWOOD DRIVE,END,86
549,EDGEWOOD DRIVE,EDGEWOOD DRIVE,END,87
550,EDGEWOOD DRIVE,SOUTHWOOD DRIVE,ISLAND DRIVE,54
551,EDGEWOOD DRIVE,ISLAND DRIVE,NEWELL ROAD,81
552,EDGEWOOD DRIVE,NEWELL ROAD,PHILLIPS ROAD,96
553,EDGEWOOD DRIVE,PHILLIPS ROAD,JEFFERSON DRIVE,97
554,EDGEWOOD DRIVE,JEFFERSON DRIVE,PATRICIA LANE,89
555,EDGEWOOD DRIVE,PATRICIA LANE,JACKSON DRIVE,89
556,EDGEWOOD DRIVE,JACKSON DRIVE,RHODES DRIVE,87
557,EDGEWOOD DRIVE,RHODES DRIVE,GREER ROAD,92
558,EDGEWOOD DRIVE,GREER ROAD,EDGEWOOD CUL- DE-SAC1,91
559,EDGEWOOD DRIVE,EDGEWOOD CUL- DE-SAC1,EDGEWOOD CUL- DE-SAC2,85
560,EDGEWOOD DRIVE,EDGEWOOD CUL- DE-SAC2,EDGEWOOD CUL- DE-SAC3,80
561,EDGEWOOD DRIVE,EDGEWOOD CUL- DE-SAC3,CHANNING AVENUE,69
562,EDLEE AVENUE,WILKIE WAY,RUTHELMA AVENUE,68
563,EDLEE AVENUE,RUTHELMA AVENUE,PARK BOULEVARD,70
564,ELBRIDGE WAY,DAVID AVENUE,LOUIS ROAD,92
565,EL CAJON WAY,ELSINORE DRIVE,ELSINORE DRIVE,96
566,EL CAMINO REAL,CHURCHILL AVENUE,MIRAMONTE  AVENUE,91
567,EL CAMINO REAL,MIRAMONTE  AVENUE,END,91
568,EL CAMINO WAY,EL CAMINO REAL,WEST MEADOW  DRIVE,95
569,EL CAMINO WAY,WEST MEADOW  DRIVE,EL CAMINO WAY,96
570,EL CAMINO WAY,EL CAMINO WAY,JAMES ROAD,96
571,EL CAMINO WAY,JAMES ROAD,EL CAMINO REAL,99
572,EL CAMINO COURT,EL CAMINO WAY,END,83
573,EL CAPITAN PLACE,NELSON DRIVE,END,95
574,EL CARMELO  AVENUE,ALMA STREET,EMERSON STREET,92
575,EL CARMELO  AVENUE,EMERSON STREET,RAMONA STREET,92
576,EL CARMELO  AVENUE,RAMONA STREET,BRYANT STREET,91
577,EL CARMELO  AVENUE,BRYANT STREET,SOUTH COURT,92
578,EL CARMELO  AVENUE,SOUTH COURT,WAVERLEY STREET,92
579,EL CENTRO  STREET,BARRON AVENUE,LA JENNIFER WAY,93
580,EL CENTRO  STREET,LA JENNIFER WAY,PAUL AVENUE,56
581,EL CENTRO  STREET,PAUL AVENUE,TIMLOTT LANE,41
582,EL CENTRO  STREET,TIMLOTT LANE,LA PARA AVENUE,52
583,EL CERRITO ROAD,CERRITO WAY,"END, SOUTH",26
584,EL CERRITO ROAD,CERRITO WAY,"END, EAST",73
585,EL DORADO  AVENUE,ALMA STREET,EMERSON STREET,84
586,EL DORADO  AVENUE,EMERSON STREET,RAMONA STREET,84
587,EL DORADO  AVENUE,RAMONA STREET,BRYANT STREET,84
588,EL DORADO  AVENUE,BRYANT STREET,SOUTH COURT,84
589,EL DORADO  AVENUE,SOUTH COURT,WAVERLEY STREET,84
590,EL DORADO  AVENUE,WAVERLEY STREET,KIPLING STREET,91
591,EL DORADO  AVENUE,KIPLING STREET,COWPER STREET,92
592,ELMDALE PLACE,MORENO AVENUE,END,90
593,ELSINORE DRIVE,LOUIS ROAD,EL CAJON WAY,93
594,ELSINORE DRIVE,EL CAJON WAY,EL CAJON WAY,92
595,ELSINORE DRIVE,EL CAJON WAY,ELSINORE COURT,92
596,ELSINORE DRIVE,ELSINORE COURT,GREER ROAD,93
597,ELSINORE COURT,ELSINORE DRIVE,END,92
598,EL VERANO  AVENUE,ALMA STREET,EMERSON STREET,90
599,EL VERANO  AVENUE,EMERSON STREET,RAMONA STREET,90
600,EL VERANO  AVENUE,RAMONA STREET,BRYANT STREET,95
601,EL VERANO  AVENUE,BRYANT STREET,SOUTH COURT,95
602,EL VERANO  AVENUE,SOUTH COURT,WAVERLEY STREET,84
603,EL VERANO  AVENUE,WAVERLEY STREET,KIPLING STREET,92
604,ELWELL COURT,E. BAYSHORE ROAD,END,96
605,ELY PLACE,ALMA STREET,LUNDY LANE,96
606,ELY PLACE,LUNDY LANE,DIXON PLACE,96
607,ELY PLACE,DIXON PLACE,MUMFORD PLACE,96
608,ELY PLACE,MUMFORD PLACE,DUNCAN PLACE,95
609,ELY PLACE,DUNCAN PLACE,CARLSON COURT,96
610,ELY PLACE,CARLSON COURT,DUNCAN PLACE,97
611,EMBARCADERO  ROAD,EL CAMINO REAL,NARROW,64
612,EMBARCADERO  ROAD,NARROW,UNDER PASS,81
613,EMBARCADERO  ROAD,UNDER PASS,NARROW,73
614,EMBARCADERO  ROAD,ALMA STREET,HIGH STREET,58
615,EMBARCADERO  ROAD,ALMA STREET,UNDER PASS,58
616,EMBARCADERO  ROAD,ALMA STREET,HIGH STREET,82
617,EMBARCADERO  ROAD,HIGH STREET,EMERSON STREET,44
618,EMBARCADERO  ROAD,EMERSON STREET,BRYANT STREET,89
619,EMBARCADERO  ROAD,BRYANT STREET,WAVERLEY STREET,90
620,EMBARCADERO  ROAD,WAVERLEY STREET,COWPER STREET,91
621,EMBARCADERO  ROAD,COWPER STREET,TASSO STREET,89
622,EMBARCADERO  ROAD,TASSO STREET,WEBSTER STREET,89
623,EMBARCADERO  ROAD,WEBSTER STREET,BYRON STREET,90
624,EMBARCADERO  ROAD,BYRON STREET,MIDDLEFIELD ROAD,90
625,EMBARCADERO  ROAD,MIDDLEFIELD ROAD,FULTON STREET,90
626,EMBARCADERO  ROAD,FULTON STREET,GUINDA STREET,91
627,EMBARCADERO  ROAD,GUINDA STREET,NEWELL ROAD,96
628,EMBARCADERO  ROAD,NEWELL ROAD,MARK TWAIN  STREET,94
629,EMBARCADERO  ROAD,MARK TWAIN  STREET,BRET HARTE  STREET,92
630,EMBARCADERO  ROAD,BRET HARTE  STREET,WALNUT DRIVE,92
631,EMBARCADERO  ROAD,WALNUT DRIVE,LOUIS ROAD,92
632,EMBARCADERO  ROAD,LOUIS ROAD,HEATHER LANE,91
633,EMBARCADERO  ROAD,HEATHER LANE,MORTON STREET,90
634,EMBARCADERO  ROAD,MORTON STREET,MORTON STREET,85
635,EMBARCADERO  ROAD,MORTON STREET,GREER ROAD,79
636,EMBARCADERO  ROAD,GREER ROAD,WILDWOOD LANE,77
637,EMBARCADERO  ROAD,WILDWOOD LANE,SAINT FRANCIS  DRIVE,84
638,EMBARCADERO  ROAD,SAINT FRANCIS  DRIVE,WEST BAYSHORE  ROAD,82
639,EMBARCADERO  ROAD,WEST  BAYSHORE  ROAD,EAST BAYSHORE  ROAD,65
640,EMBARCADERO  ROAD,EAST BAYSHORE  ROAD,WEST BAYSHORE  ROAD,80
641,EMBARCADERO  ROAD,EAST BAYSHORE  ROAD,GENG ROAD,96
642,EMBARCADERO  ROAD,GENG ROAD,EAST BAYSHORE  ROAD,96
643,EMBARCADERO  ROAD,GENG ROAD,FABER PLACE,96
644,EMBARCADERO  ROAD,FABER PLACE,EMBARCADERO  WAY,96
645,EMBARCADERO  ROAD,EMBARCADERO  WAY,BEND,96
646,EMBARCADERO  ROAD,BEND,CITY DUMP,96
647,HARBOR ROAD,BEND,HARBOR  PARKING  LOT,93
648,EMBARCADERO  WAY,EMBARCADERO  ROAD,END,71
649,EMERSON STREET,PALO ALTO AVENUE,HAWTHORNE  AVENUE,54
650,EMERSON STREET,HAWTHORNE  AVENUE,EVERETT AVENUE,50
651,EMERSON STREET,EVERETT AVENUE,LYTTON AVENUE,50
652,EMERSON STREET,LYTTON AVENUE,UNIVERSITY  AVENUE,59
653,EMERSON STREET,UNIVERSITY  AVENUE,HAMILTON AVENUE,45
654,EMERSON STREET,HAMILTON AVENUE,FOREST AVENUE,53
655,EMERSON STREET,FOREST AVENUE,HOMER AVENUE,64
656,EMERSON STREET,HOMER AVENUE,CHANNING AVENUE,49
657,EMERSON STREET,CHANNING AVENUE,ADDISON AVENUE,66
658,EMERSON STREET,ADDISON AVENUE,LINCOLN AVENUE,45
659,EMERSON STREET,LINCOLN AVENUE,EMBARCADERO  ROAD,51
660,EMERSON STREET,EMBARCADERO  ROAD,MELVILLE AVENUE,85
661,EMERSON STREET,MELVILLE AVENUE,KELLOGG AVENUE,78
662,EMERSON STREET,KELLOGG AVENUE,CHURCHILL  AVENUE,82
663,EMERSON STREET,CHURCHILL AVENUE,COLERIDGE  AVENUE,69
664,EMERSON STREET,COLERDIGE AVENUE,LOWELL AVENUE,82
665,EMERSON STREET,LOWELL AVENUE,TENNYSON AVENUE,78
666,EMERSON STREET,TENNYSON AVENUE,SEALE AVENUE,62
667,EMERSON STREET,SEALE AVENUE,RINCONADA  AVENUE,60
668,EMERSON STREET,RINCONADA  AVENUE,SANTA RITA  AVENUE,59
669,EMERSON STREET,SANTA RITA AVENUE,WASHINGTON  AVENUE,44
670,EMERSON STREET,WASHINGTON  AVENUE,NORTH CALIFORNIA  AVENUE,47
671,EMERSON STREET,NORTH CALIFORNIA  AVENUE,NEVADA AVENUE,100
672,EMERSON STREET,NEVADA AVENUE,OREGON  EXPRESSWAY,100
673,EMERSON STREET,END,COLORADO  AVENUE,87
674,EMERSON STREET,COLORADO AVENUE,EL DORADO  AVENUE,91
675,EMERSON STREET,EL DORADO AVENUE,MATADERO CREEK,92
676,EMERSON STREET,MATADERO CREEK,EL CARMELO  AVENUE,91
677,EMERSON STREET,EL CARMELO  AVENUE,LOMA VERDE  AVENUE,89
678,EMERSON STREET,LOMA VERDE  AVENUE,EL VERANO  AVENUE,91
679,EMERSON STREET,EL VERANO AVENUE,END,83
680,EMERSON STREET,EAST MEADOW  DRIVE,END,44
681,MATADERO  AVENUE,EMMA COURT,END,88
682,ENCINA AVENUE,EL CAMINO REAL,END,92
683,ENCINA GRANDE  DRIVE,AMARANTA AVENUE,ARBOL DRIVE,93
684,ENCINA GRANDE  DRIVE,ARBOL DRIVE,SOLANA DRIVE,93
685,ENCINA GRANDE  DRIVE,SOLANA DRIVE,CAMPANA DRIVE,93
686,ENCINA GRANDE  DRIVE,CAMPANA DRIVE,VERDOSA DRIVE,93
687,ENSIGN WAY,MIDDLEFIELD ROAD,END,75
688,ERSTWILD COURT,WALTER HAYS  DRIVE,END,93
689,ESCOBITA AVENUE,MANZANITA AVENUE,MIRAMONTE  AVENUE,98
690,ESCOBITA AVENUE,MIRAMONTE  AVENUE,SEQUOIA AVENUE,97
691,EVERETT AVENUE,ALMA STREET,HIGH STREET,56
692,EVERETT AVENUE,HIGH STREET,EMERSON STREET,60
693,EVERETT AVENUE,EMERSON STREET,RAMONA STREET,49
694,EVERETT AVENUE,RAMONA STREET,BRYANT STREET,60
695,EVERETT AVENUE,BRYANT STREET,WAVERLEY STREET,74
696,EVERETT AVENUE,WAVERLEY STREET,KIPLING STREET,85
697,EVERETT AVENUE,KIPLING STREET,COWPER STREET,88
698,EVERETT AVENUE,COWPER STREET,WEBSTER STREET,42
699,EVERETT AVENUE,WEBSTER STREET,BYRON STREET,53
700,EVERETT AVENUE,BYRON STREET,MIDDLEFIELD ROAD,72
701,EVERETT AVENUE,MIDDLEFIELD ROAD,FULTON STREET,53
702,EVERETT AVENUE,FULTON STREET,FULTON STREET,77
703,EVERETT AVENUE,FULTON STREET,PALO ALTO AVENUE,93
704,EVERETT COURT,COWPER STREET,WEBSTER STREET,78
705,EVERGREEN DRIVE,THORNWOOD DRIVE,TALISMAN DRIVE,92
706,EVERGREEN DRIVE,TALISMAN DRIVE,ASPEN WAY,92
707,EVERGREEN DRIVE,ASPEN WAY,DRIFTWOOD DRIVE,92
708,EVERGREEN DRIVE,DRIFTWOOD DRIVE,END,92
709,FABER PLACE,EMBARCADERO  ROAD,END,84
710,FABIAN STREET,CHARLESTON ROAD,SAN ANTONIO  AVENUE,83
711,FABIAN WAY,CHARLESTON ROAD,WEST BAYSHORE  ROAD,66
712,FAIRFIELD COURT,MACKAY DRIVE,END,95
713,FAIRMEDE AVENUE,POMONA AVENUE,LOS PALOS  AVENUE,93
714,FERNANDO  AVENUE,EL CAMINO REAL,ORINDA STREET,74
715,FERNANDO  AVENUE,ORINDA STREET,BIRCH STREET,66
716,FERNANDO  AVENUE,BIRCH STREET,PARK BOULEVARD,70
717,FERNE AVENUE,ALMA STREET,FERNE COURT,97
718,FERNE AVENUE,FERNE COURT,BRIARWOOD WAY,97
719,FERNE AVENUE,BRIARWOOD WAY,SCRIPPS COURT,97
720,FERNE AVENUE,SCRIPPS COURT,MACKAY DRIVE,95
721,FERNE AVENUE,MACKAY DRIVE,DAKE AVENUE,90
722,FERNE AVENUE,DAKE AVENUE,FERNE CUL-DE- SAC1,97
723,FERNE AVENUE,FERNE CUL-DE- SAC1,FERNE CUL-DE- SAC2,97
724,FERNE AVENUE,FERNE CUL-DE- SAC2,SAN ANTONIO  AVENUE,95
725,FERNE COURT,FERNE AVENUE,END,92
726,FERNE COURT,FERNE AVENUE,END,97
727,FERNE COURT,FERNE AVENUE,END,90
728,FIELDING DRIVE,MORENO AVENUE,FIELDING CUL-DE- SAC,60
729,FIELDING DRIVE,FIELDING CUL-DE- SAC,LOUIS ROAD,72
730,FIFE AVENUE,BOYCE AVENUE,ADDISON AVENUE,86
731,FIFE AVENUE,ADDISON AVENUE,LINCOLN AVENUE,85
732,FIELDING DRIVE,FIELDING DRIVE,END,57
733,FLORALES DRIVE,AMARANTA AVENUE,SOLANA DRIVE,28
734,FLORALES DRIVE,SOLANA DRIVE,CAMPANA DRIVE,37
735,FLORALES DRIVE,CAMPANA DRIVE,VERDOSA DRIVE,60
736,FLORENCE STREET,LYTTON AVENUE,UNIVERSITY  AVENUE,65
737,FLOWERS LANE,LOMA VERDE  AVENUE,END,89
738,FOREST AVENUE,ALMA STREET,HIGH STREET,91
739,FOREST AVENUE,HIGH STREET,EMERSON STREET,93
740,FOREST AVENUE,EMERSON STREET,RAMONA STREET,93
741,FOREST AVENUE,RAMONA STREET,BRYANT STREET,97
742,FOREST AVENUE,BRYANT STREET,GILMAN STREET,97
743,FOREST AVENUE,GILMAN STREET,WAVERLEY STREET,97
744,FOREST AVENUE,WAVERLEY STREET,COWPER STREET,97
745,FOREST AVENUE,COWPER STREET,WEBSTER STREET,97
746,FOREST AVENUE,WEBSTER STREET,MIDDLEFIELD ROAD,97
747,FOREST AVENUE,MIDDLEFIELD ROAD,FULTON STREET,97
748,FOREST AVENUE,FULTON STREET,GUINDA STREET,97
749,FOREST AVENUE,GUINDA STREET,SENECA STREET,97
750,FOREST AVENUE,SENECA STREET,BOYCE AVENUE,97
751,FOREST AVENUE,BOYCE AVENUE,FOREST COURT,96
752,FOREST AVENUE,FOREST COURT,LINCOLN AVENUE,97
753,FOREST AVENUE,LINCOLN AVENUE,CENTER DRIVE,97
754,FOREST COURT,FOREST AVENUE,END,97
755,FRANDON COURT,MAYBELL AVENUE,END,93
756,FULTON STREET,PALO ALTO AVENUE,EVERETT AVENUE,88
757,FULTON STREET,EVERETT AVENUE,LYTTON AVENUE,89
758,FULTON STREET,LYTTON AVENUE,UNIVERSITY  AVENUE,92
759,FULTON STREET,UNIVERSITY  AVENUE,HAMILTON AVENUE,93
760,FULTON STREET,HAMILTON AVENUE,FOREST AVENUE,91
761,FULTON STREET,ADDISON AVENUE,LINCOLN AVENUE,94
762,FULTON STREET,LINCOLN AVENUE,KINGSLEY AVENUE,84
